hip_id,ra,dec,mag
2912,9.220200,33.719345,4.34
2920,9.242820,53.896908,3.69
2926,9.279961,24.014135,6.18
2937,9.325905,-54.393818,6.40
2941,9.335896,-24.767267,5.57
2942,9.338415,35.399502,5.45
2954,9.377040,3.135351,6.43
3031,9.639030,29.311750,4.34
3056,9.703245,-25.107819,6.43
3083,9.791220,49.354588,5.45
3092,9.831930,30.861025,3.27
3093,9.840945,21.250471,5.88
3132,9.948705,82.493759,6.38
3137,9.966420,-44.796291,6.00
3138,9.981541,21.438496,5.36
3170,10.104885,-59.454605,5.89
3175,10.119090,-16.516676,6.49
3179,10.126740,56.537331,2.24
3185,10.136565,-23.804876,6.14
3193,10.176555,-4.351841,5.90
3231,10.279949,39.458664,5.30
3245,10.331490,-46.085007,4.59
3269,10.400145,24.629007,6.06
3277,10.443151,-56.501316,5.72
3299,10.514296,66.147591,5.83
3300,10.516214,50.512527,4.80
3330,10.618035,-65.468033,5.38
3334,10.629270,58.753410,6.18
3352,10.674135,-60.262806,5.99
3356,10.678710,-38.463482,6.05
3405,10.838506,-57.463058,4.36
3414,10.866990,47.024548,4.95
3419,10.897350,-17.986605,2.04
3436,10.958699,-12.011813,6.01
3455,11.047501,-10.609550,4.77
3456,11.050245,-38.421684,5.90
3478,11.109179,47.863983,5.66
3489,11.131604,-62.497589,6.06
3504,11.181299,48.284363,4.48
3505,11.184990,-22.006136,5.22
3521,11.237804,-42.676559,5.94
3527,11.249385,-53.714893,6.15
3544,11.321609,55.221397,5.41
3552,11.350530,-4.629160,6.15
3559,11.369535,-12.880810,6.15
3572,11.412930,74.988075,5.64
3576,11.423775,-16.424219,6.47
3583,11.439751,-47.551987,5.80
3604,11.545035,44.861496,6.03
3607,11.548935,-22.522097,5.49
3632,11.637330,15.475504,5.36
3641,11.659695,69.325409,6.39
3649,11.676929,59.574539,6.41
3675,11.756070,11.973849,5.51
3685,11.806770,19.578703,6.11
3693,11.834715,24.267178,4.08
3697,11.848470,6.740956,5.98
3717,11.930085,-18.061338,5.70
3721,11.941785,74.847572,5.42
3741,12.004440,-21.722492,5.57
3750,12.037305,72.674484,5.86
3760,12.072539,7.299928,5.92
3765,12.095730,5.280615,5.74
3781,12.146655,-74.923439,5.09
3786,12.170595,7.585079,4.44
3801,12.208380,50.968166,4.90
3807,12.236370,-46.697647,6.28
3810,12.244620,16.940643,5.07
3821,12.273900,57.815186,3.46
3834,12.308100,-24.136671,5.90
3849,12.356730,-13.561274,5.59
3858,12.389296,-23.362144,6.27
3881,12.453510,41.078911,4.53
3885,12.471495,27.710285,5.55
3903,12.515685,-43.394920,6.49
3909,12.531645,-10.644326,5.17
3919,12.576045,45.002258,6.13
3949,12.671520,-50.986816,5.24
3951,12.681630,64.247551,5.35
3965,12.738945,51.508034,6.38
3988,12.818265,61.805492,6.04
3992,12.826350,3.385020,6.39
4023,12.890790,51.571426,6.22
4104,13.169266,-24.005844,5.47
4147,13.252066,-1.144260,4.78
4151,13.267665,61.123970,4.80
4164,13.301895,-24.776876,6.44
4185,13.367595,37.418209,6.07
4200,13.407585,-62.871353,5.73
4212,13.448205,52.689293,6.27
4257,13.573305,-8.740662,6.15
4267,13.646774,19.188417,5.80
